,generator_n_layers_hidden,generator_n_units_hidden,generator_nonlin,n_iter,generator_dropout,discriminator_n_layers_hidden,discriminator_n_units_hidden,discriminator_nonlin,discriminator_n_iter,discriminator_dropout,lr,weight_decay,batch_size,encoder_max_clusters,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,3,150,tanh,1000,0.0875174422525385,4,150,leaky_relu,5,0.014207211639577388,0.001,0.001,256,10,100,100,0.695,0.45045045045045046,0.24281967004987307,0.6589285714285714,0.11003861003861007,0.12244897959183676,0.03999999999999998,0.12244897959183676,2.980158630324676,2.0511395332103888,0.024763166637361333,334.27287244796753
0,4,50,relu,1000,0.08293238799810472,2,150,tanh,4,0.1233867993749514,0.0001,0.001,512,14,100,100,0.385,0.3050847457627119,-0.17936735107169854,0.41035714285714286,0.2207207207207207,0.42857142857142855,0.42857142857142855,0.10989010989010994,3.3800150285394106,2.6217987612194027,0.050982620644287824,161.46922421455383
0,1,50,relu,1000,0.19767476761184524,1,50,leaky_relu,2,0.03179391672910394,0.0002,0.001,256,17,100,100,0.6,0.23076923076923078,-0.0316069770620507,0.5441666666666667,0.006006006006005982,0.06857142857142856,0.06857142857142856,0.03767660910518053,3.2617523263322883,2.522263774898841,0.036030193628377116,208.12932443618774
0,1,150,leaky_relu,1000,0.007837558450864136,2,50,tanh,1,0.13849442387400399,0.0001,0.001,256,14,100,100,0.645,0.2828282828282828,0.06333925445344536,0.5717857142857142,0.11647361647361645,0.1257142857142857,0.1257142857142857,0.11773940345368916,3.2654406032884964,2.4672664660159085,0.03402264400809951,193.9556782245636
0,1,150,relu,1000,0.16578800584347264,1,150,relu,3,0.11840838625436781,0.001,0.001,256,17,100,100,0.64,0.3684210526315789,0.11796638805434902,0.5880952380952381,0.10767910767910768,0.1542857142857143,0.1542857142857143,0.0769230769230769,3.003050379555496,2.1824661966527543,0.02103789758321195,252.0475208759308
0,2,150,leaky_relu,1000,0.10026487638534046,4,100,leaky_relu,4,0.05801552144208882,0.0001,0.001,256,14,100,100,0.705,0.3917525773195876,0.22198456576225437,0.6611904761904762,0.02809952809952812,0.2,0.2,0.11616954474097331,3.033204255826006,2.210666346499073,0.020800231741494812,287.6152606010437
0,3,100,elu,1000,0.16123879780921715,3,50,relu,5,0.032498586935274965,0.001,0.0001,256,15,100,100,0.635,0.3177570093457944,0.07462660869673954,0.6052380952380952,0.02981552981552979,0.04709576138147567,0.005714285714285672,0.04709576138147567,2.995571996670209,2.09501673830383,0.020929343179544535,410.4192395210266
0,2,150,leaky_relu,1000,0.07199561289567279,3,50,elu,4,0.044784937612076026,0.0002,0.001,256,6,100,100,0.69,0.38,0.19094065395649334,0.6714285714285715,0.025740025740025763,0.06285714285714283,0.06285714285714283,0.05180533751962324,3.0808146825092515,2.2842767738293257,0.025375473429807283,509.82207798957825
0,4,100,relu,1000,0.07964421244321838,1,50,elu,2,0.011605832064775124,0.001,0.0001,512,14,100,100,0.69,0.03125,-0.015586992159713741,0.5998809523809524,0.03260403260403261,0.04,0.04,0.02982731554160125,3.965166184038535,3.0590328532975892,0.8504007875634514,259.4047939777374
0,2,100,leaky_relu,1000,0.05266447534743013,1,150,tanh,4,0.17453013108947907,0.0002,0.0001,512,15,100,100,0.705,0.45871559633027525,0.2613009951265508,0.6496428571428572,0.04568854568854569,0.10675039246467818,0.03999999999999998,0.10675039246467818,3.0926512484566957,2.2569561538844316,0.025718447665268762,329.8897683620453
0,2,100,tanh,1000,0.006868007959441175,2,100,tanh,3,0.19880974183077274,0.0002,0.0001,512,20,100,100,0.68,0.42857142857142855,0.20894746626614946,0.6222619047619048,0.01630201630201633,0.13714285714285712,0.13714285714285712,0.06907378335949763,3.132963475414506,2.351992242265509,0.02594736102819928,279.804979801178
0,3,100,tanh,1000,0.0389654034559207,4,150,leaky_relu,5,0.17896100182064442,0.0002,0.0001,512,8,100,100,0.705,0.42718446601941745,0.24168388359628817,0.705,0.10918060918060918,0.2628571428571429,0.2628571428571429,0.020408163265306117,2.994955383284287,2.1495622485171855,0.019969713878664752,304.21647667884827
