,generator_n_layers_hidden,generator_n_units_hidden,generator_nonlin,n_iter,generator_dropout,discriminator_n_layers_hidden,discriminator_n_units_hidden,discriminator_nonlin,discriminator_n_iter,discriminator_dropout,lr,weight_decay,batch_size,encoder_max_clusters,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,3,150,tanh,1000,0.0875174422525385,4,150,leaky_relu,5,0.014207211639577388,0.001,0.001,512,10,100,100,0.8447128672330843,0.6154626108998733,0.5367370340633184,0.896317204681703,0.15186208043540894,0.10155038759689916,0.10155038759689916,0.05547303935079087,1.608494855008317,0.5886560221388798,0.14089097564460587,5176.824017763138
0,4,50,relu,1000,0.08293238799810472,2,150,tanh,4,0.1233867993749514,0.0001,0.001,1024,14,100,100,0.8108301770907974,0.6493358633776091,0.5283295938636522,0.878822405940757,0.33198297779249064,0.33311425682507584,0.33311425682507584,0.2128594394552974,1.5441580320066073,0.4023765073202601,0.10150775022604185,2142.0208654403687
0,1,50,relu,1000,0.19767476761184524,1,50,leaky_relu,2,0.03179391672910394,0.0002,0.001,512,17,100,100,0.8347834988228069,0.6474442988204456,0.5398321125694299,0.8917062927032492,0.25557866293895615,0.2994242219975284,0.2994242219975284,0.13329212976631763,1.4225809424542408,0.37273593330993804,0.057577603026760266,2243.0336430072784
0,1,150,leaky_relu,1000,0.007837558450864136,2,50,tanh,1,0.13849442387400399,0.0001,0.001,512,14,100,100,0.8176886068174839,0.502930505163271,0.43385148868093254,0.8690941261832987,0.14263154510309145,0.20597685653297385,0.20597685653297385,0.057404522626346065,1.5615862710382329,0.44024872350473065,0.09065330900300743,1675.7317583560944
0,1,150,relu,1000,0.16578800584347264,1,150,relu,3,0.11840838625436781,0.001,0.001,512,17,100,100,0.8422561162862114,0.6289429328196484,0.5376500661943866,0.8961243842553085,0.20739447986874868,0.2761122345803842,0.2761122345803842,0.08818630556535095,1.78951873831569,0.8740214268103548,0.26407967927531445,2877.3793110847473
0,2,150,leaky_relu,1000,0.10026487638534046,4,100,leaky_relu,4,0.05801552144208882,0.0001,0.001,512,14,100,100,0.8368307912785341,0.6062252964426877,0.516279920669,0.8854566948921235,0.20705312668780831,0.26243961352657,0.26243961352657,0.09751343898260162,1.647394872545691,0.5617778804271061,0.2308397087330509,4276.9087653160095
0,3,100,elu,1000,0.16123879780921715,3,50,relu,5,0.032498586935274965,0.001,0.0001,512,15,100,100,0.8306889139113522,0.5418282548476454,0.48019018728703233,0.8830489433498192,0.14363105894896444,0.21207167733962476,0.21207167733962476,0.04788967008704097,1.5257948898519709,0.4418243507227343,0.0638528411546584,4413.216419458389
0,2,150,leaky_relu,1000,0.07199561289567279,3,50,elu,4,0.044784937612076026,0.0002,0.001,512,6,100,100,0.8381615313747569,0.6213173652694611,0.5264028766193153,0.8864769739602634,0.17342780844538103,0.10739523649028193,0.10739523649028193,0.07717340006448598,1.3015583636454606,0.3099684712591882,0.03324932671587441,3558.852548599243
0,4,100,relu,1000,0.07964421244321838,1,50,elu,2,0.011605832064775124,0.001,0.0001,1024,14,100,100,0.7940423789538336,0.3221024258760108,0.31961599396941254,0.8647421403804076,0.08273687134200285,0.1595747668801258,0.1595747668801258,0.02955360453183863,2.43341143827093,1.7576953493190397,0.4561785909911421,1409.113923072815
0,2,100,leaky_relu,1000,0.05266447534743013,1,150,tanh,4,0.17453013108947907,0.0002,0.0001,1024,15,100,100,0.8176886068174839,0.61206708778044,0.4931105249367736,0.8763201436103513,0.26625786103943655,0.29661274014155714,0.29661274014155714,0.1579378533419818,1.502217218809295,0.34324737740091144,0.04121135598832553,1819.1504714488983
0,1,50,tanh,1000,0.18592807100556608,2,100,leaky_relu,1,0.07784047591401079,0.0002,0.0001,1024,20,100,100,0.8472719828027434,0.6425491135601341,0.5536810259800286,0.8942467737689164,0.20153645796633396,0.2347067745197169,0.2347067745197169,0.0839285700801695,1.7159713070645133,0.6776583596469278,0.263105229685124,1300.4160044193268
0,1,50,tanh,1000,0.1956160518831116,2,100,leaky_relu,1,0.0729498026412902,0.0002,0.0001,1024,20,100,100,0.8380591667519706,0.6275894538606404,0.5298461589734091,0.8897745198224578,0.22305090133572456,0.2963290641500955,0.2963290641500955,0.10341586883522777,1.423011128078724,0.34602839971003807,0.04921677544671761,1302.0585873126984
0,1,50,tanh,1000,0.19976274835122404,1,100,leaky_relu,2,0.08632295260501384,0.0002,0.0001,1024,20,100,100,0.8452246903470161,0.6377575467177767,0.5475398836917423,0.8953156032936723,0.20427166990722753,0.2559178743961353,0.2559178743961353,0.08504597457259165,1.4948214664936454,0.4182079911582573,0.1434131113307614,1611.865050792694
0,1,50,tanh,1000,0.14271149120014248,2,100,leaky_relu,2,0.08687081564647263,0.0002,0.0001,1024,20,100,100,0.8428703040229297,0.6151917773878165,0.5325506652696005,0.8927540558769421,0.18376397343128964,0.2493062577238513,0.2493062577238513,0.06914935147800493,1.5690612805805908,0.4589706920821834,0.11100745380726945,1678.1129357814789
0,2,50,tanh,1000,0.1262348952920378,3,100,leaky_relu,1,0.09171336863521527,0.0002,0.0001,1024,9,100,100,0.8360118742962432,0.5615763546798029,0.4996514420428762,0.8969854569654163,0.1436221459677533,0.18380519042804178,0.18380519042804178,0.047554932006563376,1.5110858907275762,0.4244552808328675,0.11781286620608956,1269.8205168247223
0,1,50,tanh,1000,0.17245132216376424,1,100,leaky_relu,2,0.15859849243124705,0.0002,0.0001,1024,3,100,100,0.8432797625140751,0.6309954205832731,0.5405513239823644,0.8974538667057143,0.20221496449413606,0.21524547803617577,0.21524547803617577,0.09166862364732364,1.4794008050349805,0.4244745056833547,0.10349542964473726,1444.439398765564
0,3,100,elu,1000,0.12414000715645433,2,100,leaky_relu,3,0.1062276597826192,0.0002,0.0001,1024,18,100,100,0.8347834988228069,0.659206081081081,0.5502667970583476,0.8879530574930652,0.24363190824874478,0.22444669138299062,0.22444669138299062,0.12573496264872738,1.3876492186697469,0.25169395176853854,0.04053613692504164,1845.0733263492584
0,3,100,elu,1000,0.12145454082668178,2,100,elu,3,0.1095493612830436,0.0002,0.0001,1024,18,100,100,0.8189169822909202,0.6018455998199415,0.48619080641058443,0.8485637871267098,0.21046465190981856,0.19985114032131224,0.19985114032131224,0.11028143521311706,1.6810766216675093,0.5079879726874149,0.15354706978538163,1750.9627559185028
0,3,100,elu,1000,0.021997846662884374,3,100,relu,3,0.19413094786304003,0.0002,0.0001,1024,12,100,100,0.8282321629644794,0.532329988851728,0.4710341632753962,0.8760480941341263,0.13976063185663745,0.20044377036288055,0.20044377036288055,0.04755251567031811,1.8814630735065507,1.0643263373208982,0.28735539660600357,1952.9664702415466
0,4,100,elu,1000,0.1366716099040002,2,150,leaky_relu,3,0.14089587436756873,0.0001,0.0001,1024,18,100,100,0.8372402497696796,0.612950340798442,0.5203412740434475,0.8815360224818256,0.1949397319143245,0.22608414784855635,0.22608414784855635,0.08638975956699255,1.663021263398444,0.4717444357408472,0.21795454610940046,1921.054668188095
