,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0002,3,0.001,512,500,200,tanh,0.014207211639577388,1,50,tanh,0.15983171284334474,100,100,0.685,0.3225806451612903,0.1499150808176662,0.5991666666666666,0.02619047619047618,0.06944444444444448,0.06944444444444448,0.023504273504273504,3.225853907066777,2.247850405297348,0.15898249098419948,51.61643981933594
0,1000,0.0002,4,0.001,256,150,400,tanh,0.12241914454448428,4,500,tanh,0.012045094325853968,100,100,0.735,0.46464646464646464,0.31118851101040546,0.7657142857142858,0.05476190476190476,0.125,0.125,0.04166666666666667,2.8897149664169968,1.8997575797722563,0.026266379586704414,145.33495593070984
0,1000,0.0002,1,0.001,256,500,100,relu,0.09326215457126126,2,100,leaky_relu,0.07374503413219283,100,100,0.695,0.46956521739130436,0.2565749812494094,0.6770238095238095,0.08333333333333331,0.2916666666666667,0.2916666666666667,0.08226495726495725,3.0637251873705016,2.2393905540202326,0.020430531029023147,140.9148325920105
0,1000,0.001,1,0.0001,256,400,50,relu,0.0635966358787952,3,50,elu,0.018788102151688336,100,100,0.665,0.27956989247311825,0.09112485304603238,0.6195238095238096,0.14047619047619048,0.22222222222222227,0.22222222222222227,0.11752136752136752,3.0424833687722117,2.2770416043298183,0.020747513935993833,137.01275277137756
0,1000,0.0002,4,0.001,256,300,50,elu,0.14703880442451897,5,150,leaky_relu,0.19054980230339702,100,100,0.7,0.3333333333333333,0.18333969940564226,0.6764285714285715,0.14285714285714285,0.2777777777777778,0.2777777777777778,0.042735042735042736,3.0019511293125105,1.99208072532506,0.037812935670672676,143.08297395706177
0,1000,0.0002,2,0.0001,256,450,350,relu,0.08477100971163594,4,50,leaky_relu,0.08575374018915323,100,100,0.67,0.23255813953488372,0.07137592266234914,0.645357142857143,0.1380952380952381,0.15384615384615385,0.1388888888888889,0.15384615384615385,3.1658760140938207,2.2606663368118913,0.04525676302362314,138.14798212051392
0,1000,0.001,3,0.001,256,450,200,leaky_relu,0.020045377462460226,5,400,elu,0.12311191285676884,100,100,0.695,0.4077669902912621,0.21512521506922352,0.6760714285714287,0.045238095238095244,0.16666666666666669,0.16666666666666669,0.02457264957264957,2.723991208261009,0.6541625260460691,0.02139275776936067,139.60009741783142
0,1000,0.0002,3,0.0001,256,400,450,elu,0.14599811248481162,1,300,tanh,0.044784937612076026,100,100,0.655,0.18823529411764706,0.01649572197684645,0.5675,0.05952380952380952,0.16346153846153846,0.125,0.16346153846153846,3.0089460383782782,2.1182232334465425,0.027935394929571533,141.48019361495972
0,1000,0.0002,1,0.001,256,500,350,relu,0.07964421244321838,2,100,elu,0.05087129635407859,100,100,0.685,0.25882352941176473,0.11547005383792515,0.6969047619047619,0.01190476190476189,0.05982905982905984,0.041666666666666685,0.05982905982905984,3.075742131112209,2.2525365139924416,0.02407851464923061,139.1732883453369
0,1000,0.0002,4,0.0001,512,350,250,relu,0.13261564062002015,2,50,elu,0.1662096910472381,100,100,0.745,0.35443037974683544,0.3088533790101258,0.6477380952380952,0.10238095238095238,0.3055555555555556,0.3055555555555556,0.04807692307692308,3.1043005189179484,2.1723352049961364,0.03481161066549188,82.64966678619385
