sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,52,Greater than 45,Caucasian,0,0,0,12,F,1
Male,51,25 - 45,Caucasian,0,0,0,2,F,0
Male,26,25 - 45,African-American,0,0,0,10,F,1
Male,32,25 - 45,Hispanic,0,0,0,0,M,0
Female,49,Greater than 45,African-American,0,0,0,1,M,0
Female,22,Less than 25,Caucasian,0,0,0,2,F,0
Male,48,Less than 25,African-American,0,0,0,2,M,0
Female,21,Less than 25,Caucasian,0,0,0,0,F,0
Male,22,Less than 25,African-American,0,0,0,4,F,1
Male,28,25 - 45,Caucasian,0,0,0,4,F,1
Female,48,Greater than 45,Hispanic,0,0,0,2,M,1
Male,25,25 - 45,African-American,0,0,0,2,F,1
Male,28,25 - 45,Caucasian,0,0,0,4,F,0
Male,23,25 - 45,African-American,0,0,0,7,M,1
Male,29,25 - 45,Caucasian,0,0,0,0,F,0
Male,23,Less than 25,African-American,0,0,0,0,F,0
Male,21,Less than 25,African-American,0,0,1,0,F,1
Male,22,Less than 25,African-American,0,0,1,1,F,1
Male,22,25 - 45,African-American,0,0,0,1,F,0
Male,32,25 - 45,African-American,0,0,0,2,F,1
Male,23,25 - 45,African-American,0,0,0,4,F,1
Male,29,25 - 45,Caucasian,0,0,0,7,M,0
Female,28,25 - 45,Caucasian,0,0,0,1,F,1
Male,27,25 - 45,African-American,0,0,0,4,M,1
Male,22,Less than 25,Caucasian,0,0,0,2,M,1
Male,23,25 - 45,African-American,0,0,0,0,M,1
Female,21,Less than 25,Caucasian,0,0,0,0,F,1
Male,26,25 - 45,African-American,0,0,0,1,F,1
Male,27,25 - 45,African-American,0,0,0,1,F,0
Male,38,25 - 45,African-American,0,0,0,7,M,0
Male,29,25 - 45,African-American,0,0,0,6,F,1
Male,47,25 - 45,Caucasian,0,0,0,2,F,1
Male,32,25 - 45,African-American,0,0,0,12,F,1
Female,21,Less than 25,African-American,0,0,0,0,F,1
Male,26,25 - 45,African-American,0,0,0,2,F,1
Male,27,25 - 45,Hispanic,0,0,0,1,M,1
Male,38,25 - 45,African-American,0,0,0,7,F,0
Female,52,Greater than 45,African-American,0,0,0,1,M,0
Male,28,25 - 45,African-American,0,0,0,12,F,1
Male,40,25 - 45,African-American,0,0,0,0,M,0
Female,33,25 - 45,African-American,0,0,0,2,F,0
Female,50,25 - 45,Caucasian,0,0,0,2,F,0
Female,33,25 - 45,Caucasian,0,0,0,2,M,0
Male,27,25 - 45,African-American,0,0,1,11,M,1
Male,22,Less than 25,African-American,0,0,0,1,F,1
Male,33,25 - 45,African-American,0,0,0,4,F,0
Male,33,25 - 45,Caucasian,0,0,0,4,F,1
Male,23,25 - 45,African-American,0,0,0,2,M,1
Male,27,25 - 45,African-American,0,0,0,0,F,1
Female,22,Less than 25,African-American,0,0,0,0,M,0
Male,51,Greater than 45,Caucasian,0,0,0,4,F,0
Male,27,25 - 45,African-American,0,0,0,4,F,1
Male,49,25 - 45,African-American,0,0,0,4,M,0
Male,49,Greater than 45,Hispanic,0,0,0,0,F,0
Male,28,25 - 45,Caucasian,0,0,0,2,M,1
Female,23,Less than 25,Caucasian,0,0,0,1,F,1
Male,28,25 - 45,African-American,0,0,0,4,F,1
Male,28,25 - 45,Caucasian,0,0,0,1,F,0
Female,32,25 - 45,Caucasian,0,0,0,0,F,0
Male,37,25 - 45,Caucasian,0,0,0,4,F,1
Female,32,25 - 45,African-American,0,0,0,4,M,0
Male,33,25 - 45,Other,0,0,0,0,F,0
Female,48,Greater than 45,Hispanic,0,0,0,0,F,0
Male,32,25 - 45,African-American,0,0,0,4,F,0
Male,28,25 - 45,Hispanic,0,0,0,2,F,0
Male,50,25 - 45,Hispanic,0,0,0,0,F,0
Male,57,Greater than 45,African-American,0,0,0,4,M,1
Male,49,Greater than 45,Caucasian,0,0,0,1,F,0
Male,40,Greater than 45,Caucasian,0,0,0,0,F,0
Male,21,Less than 25,African-American,0,0,0,0,M,1
Male,62,Greater than 45,Caucasian,0,0,0,11,F,1
Male,50,25 - 45,Hispanic,0,0,0,2,F,0
Male,21,Less than 25,African-American,0,0,0,0,M,0
Male,27,25 - 45,African-American,0,0,0,2,F,1
Male,22,Less than 25,African-American,0,0,0,21,M,1
Male,23,25 - 45,Hispanic,0,0,0,0,F,0
Male,32,25 - 45,Hispanic,0,0,0,1,F,0
Male,38,25 - 45,Caucasian,0,0,0,4,F,0
Male,32,25 - 45,African-American,0,0,0,7,F,1
Female,28,25 - 45,African-American,0,0,0,2,M,0
Male,39,25 - 45,African-American,0,0,0,1,F,0
Male,23,25 - 45,Hispanic,0,0,0,2,M,1
Male,51,Greater than 45,Caucasian,0,0,0,0,M,0
Male,38,25 - 45,Caucasian,0,0,0,2,M,0
Female,22,Less than 25,African-American,0,0,0,2,F,1
Male,50,25 - 45,African-American,0,0,0,7,F,1
Male,27,25 - 45,Caucasian,0,0,0,2,F,1
Male,32,25 - 45,African-American,0,0,0,4,F,1
Male,28,25 - 45,Other,0,0,0,0,F,0
Male,21,Less than 25,African-American,0,0,0,0,F,0
Female,37,25 - 45,African-American,0,0,0,12,F,1
Male,50,Greater than 45,Caucasian,0,0,0,21,F,1
Female,28,25 - 45,African-American,0,0,0,0,M,0
Male,45,Less than 25,Caucasian,0,0,0,0,M,0
Male,31,25 - 45,Hispanic,0,0,0,0,M,0
Male,38,25 - 45,Caucasian,0,0,0,0,F,0
Male,24,Less than 25,African-American,0,0,0,0,F,1
Male,51,25 - 45,Caucasian,0,0,0,1,F,0
Male,33,25 - 45,African-American,0,0,0,2,F,0
Male,60,Greater than 45,Caucasian,0,0,0,4,M,0
Male,33,Less than 25,Caucasian,0,0,0,0,M,0
Male,29,25 - 45,Hispanic,0,0,0,2,F,1
Male,23,Less than 25,African-American,0,0,0,2,F,1
Male,48,Greater than 45,Caucasian,0,0,0,2,F,1
Male,27,25 - 45,African-American,0,0,1,4,F,1
Male,22,25 - 45,Hispanic,0,0,0,0,F,0
Male,27,25 - 45,Caucasian,0,0,0,7,F,1
Male,51,Greater than 45,African-American,0,0,0,1,F,0
Male,21,Less than 25,Caucasian,0,0,0,2,M,1
Male,48,25 - 45,Caucasian,0,0,0,0,M,0
Female,21,Less than 25,African-American,0,0,0,2,F,1
Male,27,25 - 45,African-American,1,0,0,2,F,1
Male,28,25 - 45,African-American,0,1,1,4,F,1
Male,25,25 - 45,African-American,0,0,0,0,F,1
Female,48,Greater than 45,African-American,0,0,0,2,F,0
Male,33,25 - 45,African-American,0,0,0,7,F,0
Female,34,25 - 45,African-American,0,0,0,4,M,1
Male,27,25 - 45,Caucasian,0,0,0,2,M,0
Male,35,25 - 45,African-American,0,0,0,11,F,1
Male,33,25 - 45,African-American,0,0,0,7,M,1
Male,58,Greater than 45,Caucasian,0,0,0,1,M,0
Male,28,25 - 45,Caucasian,0,0,0,2,F,0
Male,37,25 - 45,African-American,0,0,0,2,M,0
Male,50,Greater than 45,Hispanic,0,0,0,2,M,1
Male,51,Greater than 45,Hispanic,0,0,0,4,M,1
Female,27,25 - 45,African-American,0,0,0,2,F,1
Male,35,25 - 45,African-American,0,2,1,7,F,1
Male,30,25 - 45,Caucasian,0,1,0,7,F,1
Male,23,25 - 45,Caucasian,0,0,0,4,M,1
Male,48,Greater than 45,African-American,0,0,0,4,F,0
Male,22,Less than 25,Caucasian,0,0,0,4,F,1
Female,37,25 - 45,African-American,0,0,0,7,F,0
Male,29,25 - 45,African-American,0,0,0,0,F,0
Male,32,25 - 45,African-American,0,0,0,4,M,0
Male,45,25 - 45,African-American,0,0,0,12,F,1
Male,37,25 - 45,Caucasian,0,0,0,13,M,1
Male,33,25 - 45,Hispanic,0,0,0,4,M,1
Male,53,25 - 45,African-American,0,0,0,7,F,1
Male,22,Less than 25,African-American,0,0,0,0,M,1
Male,70,Greater than 45,Caucasian,0,0,0,11,M,0
Male,21,Less than 25,African-American,0,0,0,2,F,1
Male,54,Greater than 45,Hispanic,0,0,0,1,F,1
Female,36,25 - 45,Hispanic,0,0,0,1,M,0
Male,22,Less than 25,Caucasian,0,0,1,1,F,1
Male,23,25 - 45,African-American,0,0,0,4,F,0
Female,50,Greater than 45,Caucasian,0,0,0,4,F,0
Male,22,Less than 25,African-American,0,0,0,2,F,1
Male,29,25 - 45,African-American,0,0,0,4,F,1
Male,28,25 - 45,African-American,0,0,0,6,F,1
Male,39,Greater than 45,Caucasian,0,0,0,0,F,0
Male,49,25 - 45,Hispanic,0,0,0,2,F,1
Male,28,25 - 45,Caucasian,0,0,0,7,M,1
Female,54,Greater than 45,Caucasian,0,0,0,4,F,0
Male,21,Less than 25,Other,0,0,0,0,M,0
Male,23,25 - 45,Caucasian,0,0,0,2,F,0
Female,47,Greater than 45,Caucasian,0,0,0,2,M,0
Male,52,Less than 25,African-American,0,0,0,4,F,1
Female,52,Greater than 45,Caucasian,0,0,0,0,F,0
Male,33,25 - 45,African-American,0,0,0,0,F,0
Female,53,Greater than 45,Caucasian,0,0,0,2,M,0
Male,27,25 - 45,Hispanic,0,0,0,7,F,1
Male,23,25 - 45,Hispanic,0,0,0,2,F,0
Male,37,25 - 45,Other,0,0,0,0,M,0
