checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
< 0 DM,4,existing credits paid back duly till now,furniture/equipment,250,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,19,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,23,critical account/ other credits existing (not at this bank),car (used),2129,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,72,delay in paying off in the past,car (used),18424,unknown/ no savings account,4 <= ... < 7 years,2,none,4,unknown / no property,19,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,12,existing credits paid back duly till now,radio/television,1451,... < 100 DM,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,divorced/separated
0 <= ... < 200 DM,19,existing credits paid back duly till now,furniture/equipment,2201,... < 100 DM,1 <= ... < 4 years,3,none,1,real estate,37,none,rent,1,skilled employee / official,2,none,yes,2,male,single
0 <= ... < 200 DM,72,delay in paying off in the past,car (used),18424,unknown/ no savings account,unemployed,2,none,4,unknown / no property,75,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,75,none,own,2,unskilled - resident,2,none,yes,1,male,divorced/separated/married
no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,1 <= ... < 4 years,1,none,1,real estate,75,none,rent,1,unskilled - resident,2,none,yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,radio/television,250,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,75,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,57,delay in paying off in the past,car (used),3864,unknown/ no savings account,1 <= ... < 4 years,4,none,2,unknown / no property,31,none,for free,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,72,existing credits paid back duly till now,car (used),18424,unknown/ no savings account,unemployed,2,none,4,unknown / no property,75,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,24,delay in paying off in the past,business,2613,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,40,none,rent,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,41,existing credits paid back duly till now,business,18234,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
< 0 DM,36,existing credits paid back duly till now,radio/television,2230,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,10,existing credits paid back duly till now,radio/television,1325,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,72,delay in paying off in the past,car (used),18424,unknown/ no savings account,4 <= ... < 7 years,2,none,4,unknown / no property,75,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,... < 1 year,4,none,4,real estate,75,none,own,1,unskilled - resident,2,none,yes,1,female,divorced/separated/married
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,2198,unknown/ no savings account,.. >= 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,4,existing credits paid back duly till now,car (new),250,... < 100 DM,... < 1 year,4,none,2,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,47,no credits taken/ all credits paid back duly,radio/television,16456,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,divorced/separated
no checking account,8,existing credits paid back duly till now,furniture/equipment,551,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,27,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,4,existing credits paid back duly till now,radio/television,250,... < 100 DM,... < 1 year,4,none,2,real estate,19,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,72,existing credits paid back duly till now,car (used),18424,unknown/ no savings account,4 <= ... < 7 years,2,none,4,unknown / no property,19,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,4,existing credits paid back duly till now,car (new),250,... < 100 DM,... < 1 year,1,none,2,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,72,no credits taken/ all credits paid back duly,business,18424,... < 100 DM,4 <= ... < 7 years,2,none,2,unknown / no property,19,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
