checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0 <= ... < 200 DM,42,existing credits paid back duly till now,radio/television,3091,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,36,delay in paying off in the past,business,2587,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,27,stores,own,2,skilled employee / official,1,none,yes,2,male,single
no checking account,48,critical account/ other credits existing (not at this bank),business,3532,... < 100 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",32,bank,own,2,skilled employee / official,1,none,yes,2,male,single
< 0 DM,12,existing credits paid back duly till now,education,768,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,52,none,for free,1,unskilled - resident,1,none,yes,2,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12529,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,divorced/separated
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,4225,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,54,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,12,all credits at this bank paid back duly,radio/television,646,... < 100 DM,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,married/widowed
< 0 DM,47,existing credits paid back duly till now,business,6579,... < 100 DM,4 <= ... < 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,none,yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1928,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,939,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,2,male,single
< 0 DM,24,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,guarantor,1,real estate,35,none,own,1,unskilled - resident,2,none,yes,2,female,divorced/separated/married
no checking account,30,delay in paying off in the past,business,4585,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,37,none,own,2,unskilled - resident,2,none,yes,2,male,single
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,6179,... < 100 DM,4 <= ... < 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1264,... < 100 DM,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,33,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,20,existing credits paid back duly till now,car (new),1280,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,real estate,35,bank,own,1,skilled employee / official,1,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,furniture/equipment,3788,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,24,existing credits paid back duly till now,car (new),1849,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,18,existing credits paid back duly till now,business,1568,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,31,none,own,1,unskilled - resident,1,none,yes,1,male,divorced/separated
no checking account,36,existing credits paid back duly till now,car (used),8338,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,skilled employee / official,1,none,yes,1,male,single
no checking account,18,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,27,none,own,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,24,existing credits paid back duly till now,car (new),3160,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,2763,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,36,delay in paying off in the past,car (used),9877,unknown/ no savings account,.. >= 7 years,1,co-applicant,4,unknown / no property,44,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6029,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,46,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9396,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,repairs,1477,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,44,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2618,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,34,none,own,1,skilled employee / official,1,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,1935,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6570,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
no checking account,27,existing credits paid back duly till now,business,5113,... < 100 DM,1 <= ... < 4 years,2,guarantor,2,real estate,26,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),856,.. >= 1000 DM,4 <= ... < 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,31,none,own,1,unskilled - resident,2,none,yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1937,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
... >= 200 DM / salary assignments for at least 1 year,40,existing credits paid back duly till now,car (new),6249,... < 100 DM,4 <= ... < 7 years,1,guarantor,1,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,9577,... < 100 DM,1 <= ... < 4 years,2,none,1,if not A121 : building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,2,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,3145,unknown/ no savings account,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,23,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,none,yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5868,.. >= 1000 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,41,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,12,critical account/ other credits existing (not at this bank),car (new),261,... < 100 DM,.. >= 7 years,4,none,4,real estate,54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),business,2292,... < 100 DM,... < 1 year,3,none,1,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes,2,male,single
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),5979,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4771,... < 100 DM,4 <= ... < 7 years,2,co-applicant,2,if not A121 : building society savings agreement/ life insurance,38,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1358,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,12,critical account/ other credits existing (not at this bank),car (new),930,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,skilled employee / official,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),car (new),4736,unknown/ no savings account,... < 1 year,1,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,18,existing credits paid back duly till now,car (new),2082,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
< 0 DM,48,existing credits paid back duly till now,furniture/equipment,3199,... < 100 DM,4 <= ... < 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,6,existing credits paid back duly till now,radio/television,662,500 <= ... < 1000 DM,4 <= ... < 7 years,1,none,3,if not A121 : building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,21,existing credits paid back duly till now,car (new),1282,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,24,existing credits paid back duly till now,radio/television,1936,... < 100 DM,unemployed,2,none,2,real estate,25,stores,own,1,unemployed/ unskilled - non-resident,1,none,yes,2,male,married/widowed
