checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,24,existing credits paid back duly till now,radio/television,1630,... < 100 DM,1 <= ... < 4 years,2,co-applicant,2,real estate,32,none,own,1,unskilled - resident,1,none,no,1,male,single
< 0 DM,32,existing credits paid back duly till now,business,7878,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,for free,2,unskilled - resident,1,none,yes,2,male,single
< 0 DM,29,existing credits paid back duly till now,furniture/equipment,1103,unknown/ no savings account,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),car (used),2808,unknown/ no savings account,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,44,none,own,1,unskilled - resident,1,none,yes,1,male,single
no checking account,15,existing credits paid back duly till now,radio/television,2369,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,57,existing credits paid back duly till now,car (new),3941,... < 100 DM,.. >= 7 years,4,co-applicant,4,unknown / no property,55,none,for free,1,skilled employee / official,1,none,yes,2,male,single
no checking account,19,existing credits paid back duly till now,furniture/equipment,1396,unknown/ no savings account,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,27,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,20,existing credits paid back duly till now,business,386,... < 100 DM,4 <= ... < 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,55,bank,own,1,unskilled - resident,1,none,yes,1,female,single
no checking account,32,existing credits paid back duly till now,furniture/equipment,3042,unknown/ no savings account,.. >= 7 years,2,none,2,unknown / no property,25,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,7,delay in paying off in the past,business,365,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",28,bank,rent,3,skilled employee / official,1,none,yes,2,female,single
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,3190,... < 100 DM,1 <= ... < 4 years,2,guarantor,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,1,none,yes,1,male,single
< 0 DM,33,delay in paying off in the past,radio/television,9334,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
0 <= ... < 200 DM,17,existing credits paid back duly till now,car (new),1360,.. >= 1000 DM,4 <= ... < 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1064,... < 100 DM,... < 1 year,4,none,2,real estate,36,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,married/widowed
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,8305,... < 100 DM,1 <= ... < 4 years,3,co-applicant,3,unknown / no property,41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,2,male,single
< 0 DM,32,critical account/ other credits existing (not at this bank),furniture/equipment,6504,... < 100 DM,... < 1 year,4,none,1,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
no checking account,28,existing credits paid back duly till now,education,1570,... < 100 DM,.. >= 7 years,4,none,3,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,divorced/separated/married
< 0 DM,21,existing credits paid back duly till now,car (new),6822,100 <= ... < 500 DM,.. >= 7 years,4,none,4,unknown / no property,38,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,single
