checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
< 0 DM,12,critical account/ other credits existing (not at this bank),repairs,1408,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,55,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,12,critical account/ other credits existing (not at this bank),car (new),717,... < 100 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3612,100 <= ... < 500 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,3090,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,11,delay in paying off in the past,furniture/equipment,1591,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,34,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,36,delay in paying off in the past,education,8087,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,7479,unknown/ no savings account,unemployed,4,none,2,if not A121 : building society savings agreement/ life insurance,40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,36,existing credits paid back duly till now,car (new),8210,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3148,unknown/ no savings account,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1413,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,real estate,22,none,own,1,unskilled - resident,1,none,no,1,male,married/widowed
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,2526,.. >= 1000 DM,1 <= ... < 4 years,4,none,2,real estate,32,stores,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),3049,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,26,none,own,1,skilled employee / official,2,none,yes,1,male,single
0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),12569,unknown/ no savings account,unemployed,4,none,2,unknown / no property,50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),furniture/equipment,1374,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,24,existing credits paid back duly till now,radio/television,3484,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,31,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,886,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,24,existing credits paid back duly till now,car (new),1393,... < 100 DM,unemployed,2,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,2,male,single
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,.. >= 7 years,4,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1337,... < 100 DM,... < 1 year,4,co-applicant,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
