checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
no checking account,10,existing credits paid back duly till now,car (new),1020,unknown/ no savings account,1 <= ... < 4 years,4,none,2,real estate,36,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,34,existing credits paid back duly till now,car (used),2737,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,19,no credits taken/ all credits paid back duly,business,1825,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes,male,single,2
no checking account,10,existing credits paid back duly till now,radio/television,1135,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= ... < 200 DM,13,existing credits paid back duly till now,business,4419,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,31,none,own,1,skilled employee / official,2,none,yes,male,single,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1316,unknown/ no savings account,4 <= ... < 7 years,1,none,1,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,22,existing credits paid back duly till now,furniture/equipment,4344,unknown/ no savings account,... < 1 year,4,none,1,real estate,27,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
no checking account,21,delay in paying off in the past,business,3172,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,36,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1
no checking account,17,existing credits paid back duly till now,furniture/equipment,774,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,8,existing credits paid back duly till now,car (new),1763,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married,2
no checking account,24,existing credits paid back duly till now,car (new),3706,unknown/ no savings account,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",32,bank,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),1210,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
no checking account,9,existing credits paid back duly till now,car (new),1687,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,real estate,39,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1
no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1424,... < 100 DM,4 <= ... < 7 years,4,none,1,real estate,43,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,48,existing credits paid back duly till now,radio/television,3185,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,male,single,1
