checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,23,delay in paying off in the past,car (new),5869,unknown/ no savings account,.. >= 7 years,2,none,4,unknown / no property,35,none,rent,2,skilled employee / official,1,none,yes,1,male,divorced/separated/married
< 0 DM,18,existing credits paid back duly till now,radio/television,912,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",59,none,rent,1,skilled employee / official,1,none,yes,2,female,single
0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),4306,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,car (new),1914,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,42,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,married/widowed
no checking account,24,existing credits paid back duly till now,car (used),1454,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,31,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,52,no credits taken/ all credits paid back duly,car (used),7516,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,38,none,own,1,skilled employee / official,2,none,yes,1,male,single
no checking account,29,critical account/ other credits existing (not at this bank),car (new),9399,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,45,none,rent,2,skilled employee / official,2,none,yes,1,male,single
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,2078,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,21,bank,own,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,7,existing credits paid back duly till now,business,1193,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
no checking account,34,existing credits paid back duly till now,car (used),6771,100 <= ... < 500 DM,.. >= 7 years,3,none,4,real estate,21,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,female,single
