checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,7,existing credits paid back duly till now,radio/television,1232,... < 100 DM,1 <= ... < 4 years,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,1,male,single
no checking account,23,existing credits paid back duly till now,car (new),6082,... < 100 DM,1 <= ... < 4 years,2,none,1,real estate,44,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,12,existing credits paid back duly till now,car (new),1420,unknown/ no savings account,unemployed,4,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,2197,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,3,real estate,28,none,own,1,skilled employee / official,1,none,yes,1,female,single
0 <= ... < 200 DM,12,all credits at this bank paid back duly,business,2920,100 <= ... < 500 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes,2,male,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,1484,100 <= ... < 500 DM,.. >= 7 years,1,none,3,real estate,37,none,own,1,unskilled - resident,1,none,no,1,male,single
< 0 DM,11,critical account/ other credits existing (not at this bank),car (used),1577,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,unknown / no property,26,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,single
no checking account,12,existing credits paid back duly till now,car (new),1421,unknown/ no savings account,1 <= ... < 4 years,4,none,4,unknown / no property,27,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),2940,... < 100 DM,.. >= 7 years,1,none,3,real estate,52,none,for free,2,skilled employee / official,2,none,yes,1,male,single
< 0 DM,24,delay in paying off in the past,business,4739,... < 100 DM,1 <= ... < 4 years,2,none,1,if not A121 : building society savings agreement/ life insurance,24,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,married/widowed
< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,2341,unknown/ no savings account,.. >= 7 years,1,none,4,real estate,39,none,rent,2,skilled employee / official,2,none,yes,1,male,single
< 0 DM,23,existing credits paid back duly till now,radio/television,2606,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,15,delay in paying off in the past,business,1444,... < 100 DM,.. >= 7 years,1,none,2,real estate,52,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,14,existing credits paid back duly till now,car (new),1208,... < 100 DM,.. >= 7 years,1,none,4,real estate,50,none,own,2,skilled employee / official,1,none,yes,2,male,single
no checking account,12,critical account/ other credits existing (not at this bank),car (new),822,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,25,none,own,1,skilled employee / official,1,none,yes,1,female,single
no checking account,10,existing credits paid back duly till now,car (new),761,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,2,none,yes,2,male,single
< 0 DM,24,existing credits paid back duly till now,radio/television,1826,... < 100 DM,.. >= 7 years,4,none,4,real estate,26,none,for free,1,skilled employee / official,1,none,yes,2,female,single
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),1248,unknown/ no savings account,.. >= 7 years,4,none,3,unknown / no property,35,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,11,all credits at this bank paid back duly,radio/television,1067,unknown/ no savings account,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,25,bank,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,16,existing credits paid back duly till now,radio/television,1289,.. >= 1000 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,rent,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
no checking account,24,existing credits paid back duly till now,business,1042,unknown/ no savings account,4 <= ... < 7 years,1,none,2,real estate,48,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,23,existing credits paid back duly till now,car (new),1599,unknown/ no savings account,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),furniture/equipment,3375,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,26,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
0 <= ... < 200 DM,23,existing credits paid back duly till now,furniture/equipment,1758,100 <= ... < 500 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,11,critical account/ other credits existing (not at this bank),car (used),7445,... < 100 DM,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,52,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,14,existing credits paid back duly till now,radio/television,3751,... < 100 DM,4 <= ... < 7 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,34,existing credits paid back duly till now,furniture/equipment,3784,... < 100 DM,1 <= ... < 4 years,2,none,4,unknown / no property,25,none,for free,1,skilled employee / official,1,none,yes,2,male,single
< 0 DM,22,delay in paying off in the past,furniture/equipment,1569,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,25,stores,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,23,all credits at this bank paid back duly,radio/television,6323,500 <= ... < 1000 DM,.. >= 7 years,3,guarantor,4,real estate,32,bank,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1195,... < 100 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,1,male,single
< 0 DM,24,existing credits paid back duly till now,car (new),1634,... < 100 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,45,all credits at this bank paid back duly,radio/television,1327,... < 100 DM,unemployed,4,none,4,real estate,54,bank,own,2,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,1425,... < 100 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1508,... < 100 DM,.. >= 7 years,1,none,3,real estate,52,none,own,3,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,47,existing credits paid back duly till now,business,4388,... < 100 DM,... < 1 year,3,none,2,unknown / no property,26,none,for free,2,skilled employee / official,1,none,yes,2,male,divorced/separated/married
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2897,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,35,none,own,2,unskilled - resident,1,none,yes,1,male,single
< 0 DM,11,critical account/ other credits existing (not at this bank),repairs,1034,.. >= 1000 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,25,existing credits paid back duly till now,business,5989,... < 100 DM,... < 1 year,3,none,1,if not A121 : building society savings agreement/ life insurance,35,bank,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,17,existing credits paid back duly till now,furniture/equipment,1667,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,unskilled - resident,1,none,yes,2,male,married/widowed
no checking account,38,existing credits paid back duly till now,car (used),5409,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,divorced/separated/married
no checking account,10,existing credits paid back duly till now,furniture/equipment,1544,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,53,bank,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,37,delay in paying off in the past,car (new),1498,unknown/ no savings account,1 <= ... < 4 years,4,none,2,unknown / no property,37,bank,own,2,skilled employee / official,1,none,yes,2,male,single
< 0 DM,24,all credits at this bank paid back duly,business,6285,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,27,bank,own,1,unskilled - resident,1,none,yes,2,female,single
0 <= ... < 200 DM,25,critical account/ other credits existing (not at this bank),car (used),10125,.. >= 1000 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,38,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,34,existing credits paid back duly till now,radio/television,1514,unknown/ no savings account,4 <= ... < 7 years,4,none,1,unknown / no property,25,bank,for free,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,38,critical account/ other credits existing (not at this bank),education,2074,... < 100 DM,.. >= 7 years,4,none,4,real estate,24,bank,rent,1,unskilled - resident,2,none,yes,2,male,single
no checking account,29,existing credits paid back duly till now,education,3002,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,56,bank,own,1,unskilled - resident,1,none,yes,2,male,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,car (used),5816,100 <= ... < 500 DM,1 <= ... < 4 years,4,co-applicant,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,17,existing credits paid back duly till now,car (used),2820,unknown/ no savings account,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,26,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,car (new),2785,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,16,existing credits paid back duly till now,education,1484,100 <= ... < 500 DM,.. >= 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,27,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,single
< 0 DM,23,existing credits paid back duly till now,radio/television,2893,unknown/ no savings account,4 <= ... < 7 years,3,none,1,real estate,54,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2992,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1059,... < 100 DM,.. >= 7 years,2,none,4,real estate,46,stores,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,32,critical account/ other credits existing (not at this bank),radio/television,3673,.. >= 1000 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,6797,unknown/ no savings account,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,7057,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated
no checking account,23,all credits at this bank paid back duly,radio/television,3260,unknown/ no savings account,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",56,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,divorced/separated
no checking account,22,existing credits paid back duly till now,car (new),4049,... < 100 DM,1 <= ... < 4 years,1,none,4,if not A121 : building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,2,none,no,1,male,single
no checking account,9,existing credits paid back duly till now,education,1320,... < 100 DM,.. >= 7 years,3,none,4,real estate,37,none,own,1,unskilled - resident,2,none,yes,1,male,single
no checking account,11,existing credits paid back duly till now,radio/television,1395,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,2,none,yes,1,female,divorced/separated/married
no checking account,10,critical account/ other credits existing (not at this bank),repairs,1212,unknown/ no savings account,1 <= ... < 4 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,female,divorced/separated
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5030,... < 100 DM,4 <= ... < 7 years,2,none,4,real estate,33,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,divorced/separated/married
< 0 DM,21,existing credits paid back duly till now,radio/television,3383,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,34,none,for free,1,skilled employee / official,1,none,yes,1,male,divorced/separated/married
< 0 DM,14,existing credits paid back duly till now,furniture/equipment,2020,... < 100 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,19,delay in paying off in the past,car (new),1478,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,2,male,married/widowed
no checking account,24,critical account/ other credits existing (not at this bank),business,1091,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1443,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,3,if not A121 : building society savings agreement/ life insurance,54,none,own,3,unskilled - resident,1,none,yes,1,male,single
no checking account,22,existing credits paid back duly till now,radio/television,1422,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,29,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,38,existing credits paid back duly till now,furniture/equipment,6627,... < 100 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
no checking account,23,delay in paying off in the past,radio/television,1399,... < 100 DM,... < 1 year,3,none,2,"if not A121/A122 : car or other, not in attribute 6",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,26,existing credits paid back duly till now,education,1165,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,28,none,for free,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,23,existing credits paid back duly till now,business,3820,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
0 <= ... < 200 DM,39,existing credits paid back duly till now,car (new),10194,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,1,unknown / no property,33,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,40,delay in paying off in the past,radio/television,3879,... < 100 DM,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1202,... < 100 DM,4 <= ... < 7 years,3,none,1,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
