checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,320,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,24,existing credits paid back duly till now,car (used),5723,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,36,delay in paying off in the past,business,9533,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,4,existing credits paid back duly till now,furniture/equipment,13572,... < 100 DM,... < 1 year,2,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,32,delay in paying off in the past,radio/television,6020,unknown/ no savings account,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,unskilled - resident,1,none,yes,1,male,single
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1974,... < 100 DM,.. >= 7 years,1,none,4,real estate,49,none,own,2,unskilled - resident,2,none,no,1,male,single
no checking account,9,existing credits paid back duly till now,domestic appliances,1272,... < 100 DM,... < 1 year,1,none,4,real estate,22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,24,existing credits paid back duly till now,car (new),1814,100 <= ... < 500 DM,... < 1 year,4,none,3,real estate,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
0 <= ... < 200 DM,42,no credits taken/ all credits paid back duly,business,7739,... < 100 DM,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,1,none,4,real estate,75,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,1,male,single
< 0 DM,36,critical account/ other credits existing (not at this bank),car (new),2156,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,none,yes,2,male,single
< 0 DM,6,delay in paying off in the past,car (new),3942,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,30,none,rent,2,skilled employee / official,2,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,1307,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
no checking account,9,existing credits paid back duly till now,car (used),2236,unknown/ no savings account,unemployed,3,none,4,unknown / no property,66,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,9,existing credits paid back duly till now,radio/television,3481,... < 100 DM,... < 1 year,1,none,1,real estate,36,none,own,1,skilled employee / official,2,none,yes,1,male,single
no checking account,23,delay in paying off in the past,furniture/equipment,3317,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
< 0 DM,16,critical account/ other credits existing (not at this bank),car (new),717,... < 100 DM,.. >= 7 years,4,none,4,real estate,62,none,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,3691,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),car (new),15945,unknown/ no savings account,.. >= 7 years,2,none,4,unknown / no property,75,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,58,delay in paying off in the past,business,14452,... < 100 DM,... < 1 year,4,co-applicant,2,unknown / no property,36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,4,existing credits paid back duly till now,furniture/equipment,12883,... < 100 DM,... < 1 year,2,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,11110,... < 100 DM,.. >= 7 years,2,none,4,unknown / no property,37,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1455,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1437,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,33,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,22,all credits at this bank paid back duly,furniture/equipment,4079,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,divorced/separated/married
< 0 DM,28,existing credits paid back duly till now,car (new),1582,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,4,existing credits paid back duly till now,furniture/equipment,8435,... < 100 DM,... < 1 year,2,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,9,existing credits paid back duly till now,domestic appliances,1151,... < 100 DM,... < 1 year,1,none,4,real estate,22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,36,no credits taken/ all credits paid back duly,business,6864,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1918,... < 100 DM,... < 1 year,1,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,20,critical account/ other credits existing (not at this bank),radio/television,5088,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,22,delay in paying off in the past,furniture/equipment,5188,... < 100 DM,4 <= ... < 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,35,bank,own,1,unskilled - resident,1,none,yes,1,male,single
0 <= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,1434,... < 100 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2770,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes,2,male,single
< 0 DM,24,existing credits paid back duly till now,car (new),6704,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,40,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2,male,single
no checking account,22,critical account/ other credits existing (not at this bank),car (used),3565,... < 100 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,business,5601,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,21,existing credits paid back duly till now,business,1529,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,37,bank,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3365,.. >= 1000 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (used),3981,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
