checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,23,existing credits paid back duly till now,radio/television,1622,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,unknown / no property,43,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1014,... < 100 DM,.. >= 7 years,4,none,2,real estate,28,none,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,10,existing credits paid back duly till now,car (new),338,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,27,none,own,1,skilled employee / official,1,none,no,1,male,single
< 0 DM,23,existing credits paid back duly till now,car (used),5618,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,7,all credits at this bank paid back duly,retraining,1106,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,72,none,own,2,unskilled - resident,2,none,yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2095,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,unskilled - resident,1,none,yes,1,male,single
0 <= ... < 200 DM,16,existing credits paid back duly till now,radio/television,1177,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,38,bank,own,1,unskilled - resident,1,none,yes,1,male,single
< 0 DM,15,delay in paying off in the past,car (new),1319,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1979,... < 100 DM,unemployed,4,none,2,unknown / no property,57,none,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,married/widowed
< 0 DM,4,existing credits paid back duly till now,radio/television,603,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,2,male,married/widowed
no checking account,10,existing credits paid back duly till now,furniture/equipment,1975,... < 100 DM,... < 1 year,3,none,1,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,skilled employee / official,1,none,yes,1,male,married/widowed
... >= 200 DM / salary assignments for at least 1 year,10,all credits at this bank paid back duly,furniture/equipment,1975,100 <= ... < 500 DM,... < 1 year,1,none,4,"if not A121/A122 : car or other, not in attribute 6",33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,female,divorced/separated/married
< 0 DM,34,existing credits paid back duly till now,furniture/equipment,1508,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,21,delay in paying off in the past,domestic appliances,5844,.. >= 1000 DM,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,37,existing credits paid back duly till now,car (new),682,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,21,critical account/ other credits existing (not at this bank),car (new),1341,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
no checking account,17,critical account/ other credits existing (not at this bank),car (used),9565,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,35,all credits at this bank paid back duly,car (used),4456,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,for free,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,14,existing credits paid back duly till now,radio/television,1551,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,38,stores,own,1,unskilled - resident,2,none,yes,1,male,single
0 <= ... < 200 DM,42,all credits at this bank paid back duly,education,5775,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,25,bank,rent,2,skilled employee / official,2,none,yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,33,all credits at this bank paid back duly,radio/television,1381,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,unskilled - resident,1,none,yes,1,male,single
no checking account,7,existing credits paid back duly till now,radio/television,817,unknown/ no savings account,unemployed,4,none,3,"if not A121/A122 : car or other, not in attribute 6",75,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
no checking account,25,critical account/ other credits existing (not at this bank),furniture/equipment,3137,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,28,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,16,existing credits paid back duly till now,furniture/equipment,1288,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,1,male,single
