checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
< 0 DM,23,existing credits paid back duly till now,business,4734,unknown/ no savings account,... < 1 year,4,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,34,existing credits paid back duly till now,business,6456,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,54,all credits at this bank paid back duly,furniture/equipment,2283,... < 100 DM,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
< 0 DM,33,existing credits paid back duly till now,furniture/equipment,1069,... < 100 DM,.. >= 7 years,4,co-applicant,4,unknown / no property,62,none,for free,2,skilled employee / official,1,none,yes,male,single,2
< 0 DM,9,no credits taken/ all credits paid back duly,radio/television,1788,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,female,divorced/separated/married,1
no checking account,11,existing credits paid back duly till now,car (used),2418,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,44,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,23,critical account/ other credits existing (not at this bank),radio/television,1500,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),car (used),6898,unknown/ no savings account,unemployed,4,none,4,unknown / no property,56,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,10,critical account/ other credits existing (not at this bank),car (used),2048,100 <= ... < 500 DM,.. >= 7 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,22,delay in paying off in the past,business,884,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),3959,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,4,real estate,39,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
no checking account,11,existing credits paid back duly till now,car (used),10876,... < 100 DM,.. >= 7 years,2,none,4,unknown / no property,75,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,52,delay in paying off in the past,business,9475,unknown/ no savings account,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,2,none,yes,male,single,2
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),1052,unknown/ no savings account,4 <= ... < 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",21,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated/married,1
... >= 200 DM / salary assignments for at least 1 year,24,delay in paying off in the past,radio/television,1498,... < 100 DM,unemployed,4,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,married/widowed,2
... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),radio/television,4424,unknown/ no savings account,.. >= 7 years,2,none,3,real estate,41,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,14,existing credits paid back duly till now,radio/television,1824,... < 100 DM,... < 1 year,4,none,4,real estate,26,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1
... >= 200 DM / salary assignments for at least 1 year,16,existing credits paid back duly till now,furniture/equipment,1104,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,50,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,40,existing credits paid back duly till now,radio/television,16908,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,2
0 <= ... < 200 DM,54,existing credits paid back duly till now,business,3642,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,2
