checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0 <= ... < 200 DM,18,delay in paying off in the past,repairs,1884,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",61,none,rent,1,skilled employee / official,1,none,yes,2,male,single
no checking account,36,delay in paying off in the past,business,8958,unknown/ no savings account,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,12,existing credits paid back duly till now,education,1310,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",41,bank,rent,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,guarantor,3,unknown / no property,33,bank,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
< 0 DM,36,existing credits paid back duly till now,education,2302,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,40,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,.. >= 7 years,3,none,4,real estate,32,none,rent,1,unskilled - resident,1,none,yes,1,male,single
< 0 DM,6,existing credits paid back duly till now,furniture/equipment,448,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,23,bank,own,1,skilled employee / official,1,none,no,2,female,divorced/separated/married
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,4 <= ... < 7 years,4,co-applicant,1,real estate,43,none,own,1,unskilled - resident,2,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,3978,unknown/ no savings account,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,12,no credits taken/ all credits paid back duly,retraining,939,... < 100 DM,.. >= 7 years,4,none,4,real estate,33,none,own,2,skilled employee / official,2,none,yes,2,male,single
< 0 DM,12,all credits at this bank paid back duly,retraining,692,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,1,unskilled - resident,2,none,yes,1,male,single
0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2318,... < 100 DM,.. >= 7 years,2,none,4,unknown / no property,42,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,25,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1262,500 <= ... < 1000 DM,1 <= ... < 4 years,4,co-applicant,3,if not A121 : building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,20,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,60,existing credits paid back duly till now,car (new),14718,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,47,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,25,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,6,existing credits paid back duly till now,radio/television,1384,unknown/ no savings account,1 <= ... < 4 years,1,none,4,real estate,33,none,own,1,unskilled - resident,2,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,1239,100 <= ... < 500 DM,... < 1 year,1,none,3,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1913,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,2,none,yes,2,male,single
no checking account,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 100 DM,... < 1 year,3,none,4,unknown / no property,23,none,rent,2,unskilled - resident,2,none,yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),600,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,26,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,24,existing credits paid back duly till now,business,1918,... < 100 DM,.. >= 7 years,4,none,4,real estate,36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,female,divorced/separated/married
0 <= ... < 200 DM,27,existing credits paid back duly till now,radio/television,2520,500 <= ... < 1000 DM,... < 1 year,4,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,1,skilled employee / official,1,none,yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4313,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1380,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,2,none,yes,2,male,single
no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,.. >= 7 years,4,none,1,real estate,36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1208,... < 100 DM,1 <= ... < 4 years,1,none,1,real estate,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,801,unknown/ no savings account,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
0 <= ... < 200 DM,21,delay in paying off in the past,car (new),1303,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,47,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
0 <= ... < 200 DM,21,existing credits paid back duly till now,business,1388,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,39,bank,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,27,existing credits paid back duly till now,car (new),7315,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,53,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),radio/television,1057,100 <= ... < 500 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),6261,... < 100 DM,.. >= 7 years,4,none,4,real estate,46,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,36,existing credits paid back duly till now,car (used),10974,unknown/ no savings account,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,27,existing credits paid back duly till now,furniture/equipment,8388,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",45,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,9,existing credits paid back duly till now,car (new),1227,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,4,real estate,21,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
no checking account,24,existing credits paid back duly till now,furniture/equipment,3051,100 <= ... < 500 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,43,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,11,existing credits paid back duly till now,furniture/equipment,11593,... < 100 DM,1 <= ... < 4 years,1,none,4,unknown / no property,45,none,for free,1,unskilled - resident,2,none,yes,2,male,single
no checking account,24,delay in paying off in the past,repairs,6158,.. >= 1000 DM,1 <= ... < 4 years,3,none,2,real estate,33,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,18,existing credits paid back duly till now,car (new),1962,unknown/ no savings account,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,12,all credits at this bank paid back duly,retraining,3407,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",54,bank,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
no checking account,24,existing credits paid back duly till now,car (used),8812,unknown/ no savings account,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,761,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,2215,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,24,existing credits paid back duly till now,radio/television,2301,unknown/ no savings account,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4357,.. >= 1000 DM,... < 1 year,4,none,2,if not A121 : building society savings agreement/ life insurance,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,426,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,unknown/ no savings account,.. >= 7 years,4,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,unknown / no property,37,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,60,critical account/ other credits existing (not at this bank),education,6248,... < 100 DM,1 <= ... < 4 years,2,none,4,unknown / no property,50,none,for free,1,unskilled - resident,1,none,yes,1,male,single
< 0 DM,24,existing credits paid back duly till now,car (used),6815,unknown/ no savings account,1 <= ... < 4 years,2,none,4,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,12,existing credits paid back duly till now,furniture/equipment,2766,... < 100 DM,4 <= ... < 7 years,3,none,4,real estate,31,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,30,critical account/ other credits existing (not at this bank),car (used),8907,unknown/ no savings account,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
