checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,21,existing credits paid back duly till now,radio/television,1837,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,11,existing credits paid back duly till now,radio/television,2382,.. >= 1000 DM,unemployed,1,none,2,real estate,28,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,married/widowed
< 0 DM,24,existing credits paid back duly till now,education,2411,.. >= 1000 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,3509,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,real estate,47,none,own,1,unskilled - resident,2,none,yes,1,male,divorced/separated
< 0 DM,8,existing credits paid back duly till now,furniture/equipment,1572,unknown/ no savings account,... < 1 year,1,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,no,1,male,divorced/separated
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),4708,... < 100 DM,1 <= ... < 4 years,2,guarantor,1,real estate,46,none,own,3,skilled employee / official,1,none,yes,1,male,single
< 0 DM,40,critical account/ other credits existing (not at this bank),car (new),2323,... < 100 DM,1 <= ... < 4 years,4,none,1,if not A121 : building society savings agreement/ life insurance,48,none,own,2,unskilled - resident,1,none,yes,2,male,single
no checking account,45,critical account/ other credits existing (not at this bank),car (used),5462,100 <= ... < 500 DM,.. >= 7 years,4,none,4,unknown / no property,27,bank,for free,2,skilled employee / official,2,none,yes,1,male,single
< 0 DM,16,existing credits paid back duly till now,furniture/equipment,2738,... < 100 DM,... < 1 year,4,none,4,unknown / no property,25,none,for free,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,47,critical account/ other credits existing (not at this bank),business,2411,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,38,bank,rent,2,skilled employee / official,1,none,yes,2,female,single
no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,2643,.. >= 1000 DM,... < 1 year,3,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1507,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,60,none,own,1,unskilled - resident,1,none,yes,1,female,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,furniture/equipment,1600,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",75,stores,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
0 <= ... < 200 DM,22,critical account/ other credits existing (not at this bank),business,3064,.. >= 1000 DM,.. >= 7 years,3,guarantor,4,unknown / no property,59,bank,for free,1,skilled employee / official,2,none,yes,1,female,married/widowed
no checking account,30,existing credits paid back duly till now,car (used),4914,500 <= ... < 1000 DM,.. >= 7 years,1,co-applicant,4,if not A121 : building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,21,critical account/ other credits existing (not at this bank),car (used),2741,unknown/ no savings account,.. >= 7 years,4,none,2,unknown / no property,38,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,16,existing credits paid back duly till now,car (new),4613,... < 100 DM,... < 1 year,1,guarantor,4,real estate,25,none,own,2,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,3468,... < 100 DM,4 <= ... < 7 years,4,guarantor,1,real estate,24,none,own,1,skilled employee / official,2,none,yes,1,male,single
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,3857,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,36,none,own,2,unskilled - resident,1,none,yes,2,male,single
< 0 DM,18,existing credits paid back duly till now,car (new),2004,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",45,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,single
no checking account,17,critical account/ other credits existing (not at this bank),radio/television,2023,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes,1,female,single
0 <= ... < 200 DM,53,existing credits paid back duly till now,car (new),1744,... < 100 DM,... < 1 year,4,none,4,unknown / no property,20,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,40,existing credits paid back duly till now,radio/television,3061,.. >= 1000 DM,... < 1 year,3,none,4,real estate,34,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,married/widowed
0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,2656,... < 100 DM,1 <= ... < 4 years,1,none,4,real estate,58,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,44,critical account/ other credits existing (not at this bank),education,16151,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,7,critical account/ other credits existing (not at this bank),car (new),2917,unknown/ no savings account,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
