checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,8,existing credits paid back duly till now,radio/television,1781,... < 100 DM,.. >= 7 years,1,none,4,real estate,73,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
no checking account,33,critical account/ other credits existing (not at this bank),radio/television,2314,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",56,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),furniture/equipment,1305,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,47,existing credits paid back duly till now,furniture/equipment,5687,... < 100 DM,4 <= ... < 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,10,existing credits paid back duly till now,furniture/equipment,2077,unknown/ no savings account,.. >= 7 years,1,none,4,real estate,38,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,29,critical account/ other credits existing (not at this bank),radio/television,3669,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,for free,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,21,existing credits paid back duly till now,car (new),1434,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,38,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,19,all credits at this bank paid back duly,radio/television,1359,unknown/ no savings account,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",53,bank,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,22,existing credits paid back duly till now,radio/television,2977,100 <= ... < 500 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,for free,2,skilled employee / official,1,none,yes,1,male,single
< 0 DM,11,existing credits paid back duly till now,radio/television,1383,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,4,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,23,existing credits paid back duly till now,radio/television,1277,.. >= 1000 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,13,critical account/ other credits existing (not at this bank),radio/television,1264,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3205,unknown/ no savings account,.. >= 7 years,2,none,4,real estate,35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,22,critical account/ other credits existing (not at this bank),radio/television,1103,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,38,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,33,existing credits paid back duly till now,radio/television,3828,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1477,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,38,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,13,delay in paying off in the past,furniture/equipment,1025,unknown/ no savings account,4 <= ... < 7 years,4,none,2,real estate,43,none,own,2,skilled employee / official,1,none,yes,1,male,single
