checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1152,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2119,... < 100 DM,1 <= ... < 4 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,11,existing credits paid back duly till now,car (used),1894,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,2986,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,4,real estate,36,bank,own,1,unskilled - resident,2,none,yes,2,male,single
0 <= ... < 200 DM,12,delay in paying off in the past,furniture/equipment,3533,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,1,unskilled - resident,1,none,yes,1,male,divorced/separated
no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,386,.. >= 1000 DM,1 <= ... < 4 years,2,none,2,real estate,26,bank,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,13,all credits at this bank paid back duly,furniture/equipment,1494,500 <= ... < 1000 DM,... < 1 year,4,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1572,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
no checking account,22,critical account/ other credits existing (not at this bank),car (new),1529,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",39,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,35,existing credits paid back duly till now,business,6878,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,1,male,single
no checking account,11,existing credits paid back duly till now,car (new),1494,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,28,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,13,existing credits paid back duly till now,business,2541,... < 100 DM,4 <= ... < 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5746,.. >= 1000 DM,1 <= ... < 4 years,4,none,4,unknown / no property,40,bank,for free,3,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,single
no checking account,11,existing credits paid back duly till now,radio/television,1839,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),furniture/equipment,2576,unknown/ no savings account,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,52,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,23,existing credits paid back duly till now,business,5558,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
no checking account,11,existing credits paid back duly till now,furniture/equipment,1444,... < 100 DM,4 <= ... < 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,17,existing credits paid back duly till now,radio/television,1149,unknown/ no savings account,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),1846,unknown/ no savings account,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,35,existing credits paid back duly till now,car (new),7053,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",50,none,own,1,skilled employee / official,2,none,yes,2,male,single
no checking account,41,critical account/ other credits existing (not at this bank),radio/television,1609,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,single
no checking account,23,existing credits paid back duly till now,car (new),1747,... < 100 DM,.. >= 7 years,4,none,3,real estate,37,none,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,5,delay in paying off in the past,retraining,2482,... < 100 DM,... < 1 year,3,none,3,real estate,38,stores,own,1,unskilled - resident,2,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,14,critical account/ other credits existing (not at this bank),radio/television,1778,... < 100 DM,unemployed,4,none,2,unknown / no property,25,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1751,500 <= ... < 1000 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,54,none,rent,2,unskilled - resident,1,none,yes,2,male,married/widowed
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3454,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,bank,own,1,unskilled - resident,1,none,yes,2,male,divorced/separated
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7471,... < 100 DM,4 <= ... < 7 years,4,none,2,unknown / no property,39,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,11,existing credits paid back duly till now,furniture/equipment,3863,unknown/ no savings account,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,36,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated
