checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,18,existing credits paid back duly till now,radio/television,1151,unknown/ no savings account,... < 1 year,4,none,2,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,13,critical account/ other credits existing (not at this bank),business,1822,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,48,bank,rent,1,unskilled - resident,1,none,yes,1,male,single
no checking account,15,critical account/ other credits existing (not at this bank),car (new),1095,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,45,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1367,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",58,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,34,existing credits paid back duly till now,car (used),3439,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,60,delay in paying off in the past,car (new),18424,unknown/ no savings account,4 <= ... < 7 years,4,none,4,unknown / no property,19,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,7,all credits at this bank paid back duly,radio/television,1363,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,46,bank,own,1,unskilled - resident,2,none,yes,1,male,single
no checking account,16,critical account/ other credits existing (not at this bank),car (new),1180,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,unskilled - resident,2,none,yes,2,male,single
no checking account,9,existing credits paid back duly till now,car (new),3413,100 <= ... < 500 DM,1 <= ... < 4 years,1,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,1,male,single
no checking account,18,existing credits paid back duly till now,furniture/equipment,2129,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,25,none,rent,1,unskilled - resident,1,none,yes,1,male,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,14,existing credits paid back duly till now,radio/television,2285,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",53,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,20,existing credits paid back duly till now,radio/television,1939,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,26,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),2554,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1330,... < 100 DM,.. >= 7 years,4,guarantor,2,real estate,35,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,28,critical account/ other credits existing (not at this bank),car (new),4563,... < 100 DM,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,married/widowed
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,764,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),841,.. >= 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,5529,unknown/ no savings account,1 <= ... < 4 years,2,none,1,unknown / no property,39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,14,delay in paying off in the past,radio/television,1460,... < 100 DM,4 <= ... < 7 years,3,none,4,real estate,31,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
0 <= ... < 200 DM,13,all credits at this bank paid back duly,car (new),1275,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes,2,male,married/widowed
no checking account,11,existing credits paid back duly till now,radio/television,1302,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,27,none,rent,1,skilled employee / official,1,none,yes,1,male,married/widowed
