checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
< 0 DM,24,existing credits paid back duly till now,car (new),1921,.. >= 1000 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,2,male,single
< 0 DM,18,existing credits paid back duly till now,car (new),3573,... < 100 DM,unemployed,1,guarantor,4,real estate,23,bank,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,6,critical account/ other credits existing (not at this bank),car (new),1239,... < 100 DM,1 <= ... < 4 years,1,none,1,real estate,27,stores,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,12,existing credits paid back duly till now,car (new),1262,... < 100 DM,1 <= ... < 4 years,4,none,2,unknown / no property,27,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1520,.. >= 1000 DM,4 <= ... < 7 years,3,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3059,... < 100 DM,unemployed,3,none,1,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,1,male,married/widowed
< 0 DM,12,existing credits paid back duly till now,car (new),1398,... < 100 DM,... < 1 year,4,none,1,real estate,26,none,own,1,skilled employee / official,1,none,no,2,male,divorced/separated
no checking account,24,existing credits paid back duly till now,radio/television,717,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,real estate,58,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
< 0 DM,12,existing credits paid back duly till now,car (new),2811,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,real estate,26,none,rent,1,skilled employee / official,1,none,no,1,male,single
no checking account,36,delay in paying off in the past,radio/television,2445,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,own,2,skilled employee / official,1,none,yes,1,male,single
