checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
no checking account,35,no credits taken/ all credits paid back duly,car (used),6082,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,44,none,for free,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,970,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,60,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),car (new),3089,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1001,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),3595,100 <= ... < 500 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,48,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1704,... < 100 DM,.. >= 7 years,4,none,4,real estate,48,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,11,critical account/ other credits existing (not at this bank),furniture/equipment,1339,... < 100 DM,.. >= 7 years,2,none,3,real estate,26,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,25,delay in paying off in the past,radio/television,2332,100 <= ... < 500 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,55,critical account/ other credits existing (not at this bank),car (used),6751,unknown/ no savings account,.. >= 7 years,2,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,16,delay in paying off in the past,business,1546,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,31,critical account/ other credits existing (not at this bank),car (new),1049,... < 100 DM,.. >= 7 years,4,none,4,real estate,50,bank,own,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,11,all credits at this bank paid back duly,car (new),1972,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,25,none,rent,2,unskilled - resident,2,none,no,male,single,1
0 <= ... < 200 DM,10,no credits taken/ all credits paid back duly,furniture/equipment,3408,... < 100 DM,.. >= 7 years,4,none,4,real estate,26,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,45,delay in paying off in the past,business,6360,unknown/ no savings account,1 <= ... < 4 years,2,none,2,real estate,46,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,divorced/separated,1
< 0 DM,15,critical account/ other credits existing (not at this bank),car (new),1934,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,11,critical account/ other credits existing (not at this bank),repairs,1530,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",49,none,for free,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,14,delay in paying off in the past,car (new),996,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,2,none,no,male,single,2
< 0 DM,22,critical account/ other credits existing (not at this bank),business,1410,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,40,bank,own,2,unskilled - resident,2,none,yes,male,divorced/separated,2
