checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
... >= 200 DM / salary assignments for at least 1 year,35,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,56,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,13,existing credits paid back duly till now,furniture/equipment,1262,.. >= 1000 DM,1 <= ... < 4 years,3,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,28,existing credits paid back duly till now,radio/television,3408,... < 100 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",50,bank,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,14,existing credits paid back duly till now,education,1192,unknown/ no savings account,4 <= ... < 7 years,2,none,2,real estate,27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,9,critical account/ other credits existing (not at this bank),domestic appliances,1951,unknown/ no savings account,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,42,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,17,existing credits paid back duly till now,radio/television,1786,unknown/ no savings account,.. >= 7 years,4,guarantor,4,real estate,38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,16,existing credits paid back duly till now,car (used),1151,... < 100 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",38,none,rent,1,skilled employee / official,2,none,yes,1,male,single
no checking account,9,existing credits paid back duly till now,car (new),1041,... < 100 DM,4 <= ... < 7 years,2,none,4,real estate,34,none,rent,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,single
no checking account,14,delay in paying off in the past,car (new),1724,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,1,male,single
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1131,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,25,none,own,2,skilled employee / official,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,652,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,56,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12258,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,9,critical account/ other credits existing (not at this bank),business,1687,.. >= 1000 DM,1 <= ... < 4 years,3,none,1,real estate,66,stores,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,15,no credits taken/ all credits paid back duly,business,2543,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,7,existing credits paid back duly till now,car (new),941,unknown/ no savings account,unemployed,4,none,1,real estate,25,stores,rent,1,unskilled - resident,1,none,no,1,female,divorced/separated/married
0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,7407,... < 100 DM,unemployed,2,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,10,critical account/ other credits existing (not at this bank),car (new),871,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,47,none,own,1,unskilled - resident,1,none,no,1,male,single
< 0 DM,7,critical account/ other credits existing (not at this bank),furniture/equipment,977,... < 100 DM,.. >= 7 years,3,none,3,unknown / no property,27,bank,for free,3,unskilled - resident,1,none,yes,1,female,divorced/separated/married
