checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,6,critical account/ other credits existing (not at this bank),car (new),966,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,2,none,yes,1,male,single
< 0 DM,32,critical account/ other credits existing (not at this bank),car (used),6152,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
< 0 DM,25,critical account/ other credits existing (not at this bank),radio/television,2368,... < 100 DM,... < 1 year,2,guarantor,2,real estate,26,stores,rent,2,unskilled - resident,1,"yes, registered under the customers name",no,1,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,23,existing credits paid back duly till now,car (used),3338,unknown/ no savings account,1 <= ... < 4 years,4,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,23,existing credits paid back duly till now,education,3315,... < 100 DM,1 <= ... < 4 years,4,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,divorced/separated
no checking account,9,existing credits paid back duly till now,radio/television,1298,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,27,none,rent,1,unskilled - resident,1,none,yes,1,male,married/widowed
0 <= ... < 200 DM,7,critical account/ other credits existing (not at this bank),radio/television,1691,... < 100 DM,4 <= ... < 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,41,none,own,1,unemployed/ unskilled - non-resident,1,none,no,1,male,single
0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,2625,unknown/ no savings account,1 <= ... < 4 years,4,guarantor,3,real estate,32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),2757,.. >= 1000 DM,1 <= ... < 4 years,4,co-applicant,2,if not A121 : building society savings agreement/ life insurance,43,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,1,male,divorced/separated/married
no checking account,15,critical account/ other credits existing (not at this bank),education,4996,... < 100 DM,unemployed,4,none,4,"if not A121/A122 : car or other, not in attribute 6",63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
< 0 DM,18,delay in paying off in the past,furniture/equipment,7879,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,26,none,own,1,skilled employee / official,1,none,yes,2,female,single
< 0 DM,15,existing credits paid back duly till now,car (new),1999,... < 100 DM,4 <= ... < 7 years,1,guarantor,2,real estate,36,none,own,1,unskilled - resident,1,none,yes,1,male,single
0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,3627,unknown/ no savings account,.. >= 7 years,1,none,4,unknown / no property,37,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,14,critical account/ other credits existing (not at this bank),furniture/equipment,7353,... < 100 DM,4 <= ... < 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,19,delay in paying off in the past,car (new),478,... < 100 DM,1 <= ... < 4 years,2,none,1,if not A121 : building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,2,none,no,2,male,single
