age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41, Private,201518, Doctorate,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,8659,0,50, United-States, >50K
39, Federal-gov,95243, Assoc-voc,13, Never-married, Exec-managerial, Husband, White, Male,5693,0,40, Scotland, >50K
33, Federal-gov,278881, Some-college,10, Married-spouse-absent, Priv-house-serv, Unmarried, Black, Female,0,0,41, United-States, <=50K
34, Private,263928, 7th-8th,11, Never-married, Transport-moving, Own-child, White, Female,0,0,36, Trinadad&Tobago, <=50K
53, Private,95435, 7th-8th,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
41, Private,281904, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,142,39, United-States, <=50K
31, Private,31269, Assoc-voc,12, Married-civ-spouse, Priv-house-serv, Unmarried, White, Female,0,0,27, United-States, <=50K
41, Self-emp-inc,103785, Doctorate,13, Married-civ-spouse, Other-service, Own-child, White, Male,37544,0,60, United-States, >50K
33, Private,147273, Assoc-acdm,12, Never-married, Armed-Forces, Not-in-family, White, Male,33,0,44, Thailand, <=50K
51, Private,183235, 1st-4th,3, Married-civ-spouse, Sales, Husband, White, Male,1417,0,32, United-States, <=50K
21, Private,448370, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,8, Philippines, <=50K
35, Private,160910, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,42, United-States, <=50K
47, Private,198978, Doctorate,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,23281,0,60, Outlying-US(Guam-USVI-etc), >50K
33, Private,75499, HS-grad,9, Married-civ-spouse, Sales, Own-child, White, Female,0,0,39, Thailand, <=50K
58, Private,195735, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,377,49, United-States, <=50K
36, Private,303607, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,588,0,39, United-States, >50K
32, Private,457172, 1st-4th,1, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,80, Nicaragua, <=50K
52, Local-gov,77934, Bachelors,13, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,39, United-States, <=50K
40, State-gov,68623, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,44, United-States, <=50K
23, Private,142994, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,27, United-States, <=50K
81, Private,182216, 7th-8th,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,5578,0,50, United-States, >50K
42, Private,115294, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
