age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39, Private,60403, HS-grad,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private,163356, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Black, Female,0,73,42, United-States, <=50K
30, Local-gov,159186, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,168853, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,0,0,57, Puerto-Rico, <=50K
47, Private,327538, Doctorate,10, Married-civ-spouse, Tech-support, Husband, Black, Male,3278,0,51, Japan, >50K
50, Private,234835, 1st-4th,4, Separated, Craft-repair, Other-relative, White, Female,0,0,59, Laos, <=50K
40, Private,28913, Bachelors,11, Married-spouse-absent, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private,46684, HS-grad,10, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,42, United-States, <=50K
42, Private,51160, HS-grad,8, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,55, Vietnam, >50K
29, Private,57960, Doctorate,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,47, United-States, <=50K
29, Private,264815, Some-college,10, Married-civ-spouse, ?, Husband, Other, Male,0,0,42, South, <=50K
49, Private,201558, 11th,6, Divorced, Other-service, Unmarried, White, Female,0,6,27, United-States, <=50K
48, State-gov,438726, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White, Male,0,0,55, United-States, <=50K
69, Private,73104, 5th-6th,4, Married-civ-spouse, Other-service, Husband, Black, Male,3908,0,30, United-States, <=50K
47, Private,603532, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, Laos, <=50K
65, ?,172642, Doctorate,7, Widowed, ?, Unmarried, White, Male,1451,1279,33, United-States, <=50K
51, Private,306988, Some-college,10, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,2175,221,44, United-States, >50K
27, Private,228748, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,737,45, Taiwan, <=50K
35, Local-gov,302153, Assoc-voc,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,255,47, United-States, >50K
32, Private,240102, Masters,11, Widowed, Sales, Not-in-family, White, Female,0,0,13, Vietnam, <=50K
46, Private,249959, Doctorate,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,46, United-States, <=50K
41, Private,341588, Masters,9, Married-civ-spouse, Craft-repair, Husband, White, Male,427,0,21, Poland, <=50K
29, Private,162830, Bachelors,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,53, United-States, <=50K
38, Private,204941, 9th,9, Divorced, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
46, Private,178980, Bachelors,11, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
51, Private,175069, HS-grad,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,19, United-States, <=50K
35, Private,196111, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
63, Private,397234, Prof-school,9, Never-married, Sales, Not-in-family, White, Female,0,0,14, United-States, <=50K
35, Private,272535, 9th,10, Never-married, ?, Own-child, Black, Female,0,0,36, United-States, <=50K
23, Private,207155, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,34, United-States, <=50K
45, State-gov,295448, Masters,14, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,64, Trinadad&Tobago, >50K
49, ?,274000, Assoc-voc,12, Married-civ-spouse, ?, Husband, White, Male,41613,614,49, United-States, <=50K
42, Self-emp-not-inc,225081, Doctorate,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
21, Private,151366, Some-college,10, Never-married, Adm-clerical, Other-relative, White, Female,0,0,25, United-States, <=50K
18, Private,243969, HS-grad,9, Never-married, ?, Own-child, White, Male,42,0,40, South, <=50K
37, Private,54664, Masters,7, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,39, United-States, <=50K
43, Local-gov,300434, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,1938,55, United-States, >50K
59, Private,167663, HS-grad,7, Divorced, Prof-specialty, Unmarried, White, Female,0,0,32, United-States, <=50K
31, Private,165080, HS-grad,9, Separated, Protective-serv, Not-in-family, White, Female,0,0,42, United-States, <=50K
32, Self-emp-not-inc,178067, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Female,0,1438,57, United-States, <=50K
55, Private,177772, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,2052,525,54, Taiwan, >50K
25, Private,240622, Doctorate,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2060,60, United-States, <=50K
42, Private,392532, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,51, United-States, <=50K
39, Private,101422, Assoc-voc,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Vietnam, >50K
31, Private,225745, HS-grad,9, Never-married, Protective-serv, Own-child, White, Male,0,0,42, United-States, <=50K
46, Private,64578, 7th-8th,10, Widowed, ?, Unmarried, Black, Female,0,0,46, Scotland, <=50K
29, Private,117921, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,42, United-States, <=50K
32, Private,103662, 9th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, Taiwan, <=50K
30, Self-emp-inc,373216, Assoc-voc,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
32, Private,201242, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White, Female,219,0,31, Taiwan, <=50K
26, Private,274372, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, ?,33999, HS-grad,9, Married-civ-spouse, ?, Wife, Black, Female,0,0,9, United-States, <=50K
30, Private,49226, HS-grad,13, Never-married, Prof-specialty, Not-in-family, White, Female,2106,0,48, United-States, <=50K
35, Self-emp-not-inc,62518, Prof-school,15, Married-civ-spouse, Craft-repair, Husband, White, Male,306,0,75, United-States, <=50K
60, Private,226148, HS-grad,9, Married-civ-spouse, ?, Husband, Black, Female,0,0,45, United-States, >50K
40, Private,121431, Bachelors,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,37, United-States, <=50K
45, Private,269073, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,4563,0,44, United-States, >50K
26, ?,144977, Doctorate,8, Married-civ-spouse, ?, Wife, White, Female,0,0,90, United-States, <=50K
25, Private,151041, 10th,7, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,37, United-States, <=50K
60, Private,115350, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25, Private,177591, Preschool,8, Married-civ-spouse, Exec-managerial, Wife, White, Female,618,0,40, United-States, <=50K
73, Self-emp-not-inc,154897, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,2139,0,29, United-States, <=50K
50, Local-gov,145867, Bachelors,16, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,61540,0,36, China, >50K
46, State-gov,160232, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2018,40, Puerto-Rico, >50K
51, Self-emp-not-inc,76541, Assoc-acdm,11, Divorced, Protective-serv, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Private,331088, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States, <=50K
20, Private,166600, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,38, United-States, <=50K
26, Private,280087, Bachelors,12, Never-married, ?, Not-in-family, White, Male,13546,0,41, United-States, >50K
66, Private,121724, 10th,6, Divorced, ?, Wife, White, Male,0,0,30, United-States, <=50K
23, Private,262115, Assoc-voc,12, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Vietnam, <=50K
23, Private,156306, Preschool,10, Never-married, Protective-serv, Own-child, White, Male,0,0,49, United-States, <=50K
47, Private,187013, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,44, United-States, <=50K
63, Local-gov,25793, Assoc-voc,9, Divorced, ?, Not-in-family, White, Female,0,0,38, United-States, <=50K
45, Private,197848, Bachelors,8, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,47, United-States, <=50K
29, Local-gov,153585, Assoc-voc,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,5448,0,40, United-States, >50K
30, Private,219283, Masters,15, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,218,48, United-States, >50K
40, Private,168334, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,2515,347,47, Yugoslavia, >50K
42, Self-emp-not-inc,208874, Assoc-acdm,9, Divorced, Craft-repair, Other-relative, White, Male,0,0,34, United-States, <=50K
46, Private,260407, Doctorate,9, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,18, Ireland, <=50K
26, Private,174545, HS-grad,9, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, China, <=50K
33, Private,57743, Masters,12, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,57, United-States, <=50K
31, Private,357786, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private,104611, 10th,5, Never-married, Protective-serv, Own-child, Black, Female,0,0,27, United-States, <=50K
26, Private,205517, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,41, United-States, <=50K
33, Private,164572, Assoc-voc,8, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
49, Private,237728, Doctorate,9, Married-civ-spouse, Sales, Husband, White, Male,7587,0,38, Thailand, >50K
